Rent,Neigh,latitude,longitude,Type,Zest,ROI,BPB
109.0,Neigh_North,37.425129999999996,-121.91158,Townhouse,617169.0,-0.9353211198255904,3
110.0,Neigh_North,37.3575,-122.01615,Townhouse,999818.0,-0.9597086488289526,3
150.0,Neigh_North,37.41297,-122.11591000000001,Townhouse,2873266.0,-0.9808814248259325,2
250.0,Neigh_South,37.4046,-121.92236000000001,Townhouse,1105194.0,-0.9171597143184935,4
130.0,Neigh_South,37.321740000000005,-121.90365,Condominium,892581.0,-0.9466621123678264,3
239.0,Neigh_South,37.3829,-121.8843,Condominium,1000056.0,-0.9124787163129131,5
250.0,Neigh_North,37.366620000000005,-122.02121000000001,Townhouse,3025946.0,-0.9697434829658274,5
330.0,Neigh_North,37.3978,-121.95357,Townhouse,2064789.0,-0.9414700221497682,5
139.0,Neigh_South,37.32725,-121.91653000000001,Townhouse,1426630.0,-0.9643184636509967,3
149.0,Neigh_North,37.39672,-122.07279,Condominium,1934358.0,-0.9717908816934001,2
189.0,Neigh_South,37.32229,-121.94712,Condominium,1374972.0,-0.9496605985138054,2
125.0,Neigh_North,37.38993,-122.05906,Townhouse,1451134.0,-0.9684541239149911,4
199.0,Neigh_North,37.43416,-121.9085,Townhouse,802982.0,-0.9092414885912568,4
120.0,Neigh_South,37.319559999999996,-121.98126,Condominium,550000.0,-0.9200978152493207,3
305.0,Neigh_North,37.383379999999995,-122.07619,Townhouse,1610000.0,-0.9306232324434447,5
175.0,Neigh_South,37.32143,-121.94767,Condominium,630886.0,-0.8984155446698123,2
499.0,Neigh_South,37.319959999999995,-121.94828000000001,Condominium,1210000.0,-0.8489727644295871,4
375.0,Neigh_South,37.3922,-121.86551999999999,Condominium,930000.0,-0.8523313117846987,5
131.0,Neigh_North,37.39611,-121.9433,Condominium,850000.0,-0.943559290085427,2
229.0,Neigh_South,37.3825,-121.88551000000001,Condominium,1298693.0,-0.935424306274667,5
200.0,Neigh_South,37.32192,-121.94805,Condominium,1081137.0,-0.9322531100547022,4
2000.0,Neigh_North,37.367670000000004,-121.97551000000001,Condominium,1969707.0,-0.6281494183917231,3
195.0,Neigh_South,37.296640000000004,-121.96072,Condominium,922585.0,-0.9225951238954463,3
2500.0,Neigh_North,37.39564,-121.94221,Condominium,850000.0,0.07711278462925653,2
1700.0,Neigh_South,37.296409999999995,-121.86554,Townhouse,1103645.0,-0.4358954287694771,6
350.0,Neigh_North,37.39428,-121.96726000000001,Townhouse,1472757.0,-0.9129683842134978,5
328.0,Neigh_South,37.38013,-121.8958,Condominium,1207402.0,-0.9005139814727368,6
189.0,Neigh_North,37.44838,-122.15711999999999,Townhouse,3749185.0,-0.9815385830413074,4
100.0,Neigh_South,37.224790000000006,-121.77678999999999,Condominium,754096.0,-0.9514361106843231,4
179.0,Neigh_South,37.3233,-121.94819,Condominium,1299300.0,-0.9495473839201597,2
140.0,Neigh_South,37.40075,-121.92193999999999,Townhouse,214665.0,-0.7611600934090206,4
180.0,Neigh_North,37.43408,-121.90848999999999,Townhouse,802982.0,-0.9179068741026443,5
300.0,Neigh_North,37.34199,-121.97925,Condominium,1593976.0,-0.9310745556820277,4
148.0,Neigh_South,37.37457,-121.84976999999999,Condominium,641876.0,-0.915559523455396,4
189.0,Neigh_South,37.321290000000005,-121.94655,Townhouse,1349510.0,-0.9487108153772287,2
240.0,Neigh_South,37.3449,-121.89133999999999,Condominium,804781.0,-0.8907871790887865,4
118.0,Neigh_South,37.29585,-121.9238,Condominium,762565.0,-0.9433310407383951,3
220.0,Neigh_South,37.275040000000004,-121.84628000000001,Townhouse,967359.0,-0.9167134059948082,5
161.0,Neigh_South,37.38225,-121.86301,Townhouse,1266270.0,-0.9534371391325661,4
89.0,Neigh_South,37.2912,-121.94887,Townhouse,1030014.0,-0.9683563205326516,2
150.0,Neigh_South,37.36074,-121.89091,Condominium,945850.0,-0.9419223428491915,6
145.0,Neigh_North,37.39699,-122.10235,Condominium,1164794.0,-0.9544111145127616,2
175.0,Neigh_North,37.39665,-121.95868,Condominium,1332475.0,-0.9519028794645747,4
187.0,Neigh_North,37.372479999999996,-122.11153,Condominium,1709769.0,-0.9599461501251175,4
235.0,Neigh_North,37.36653,-121.96863,Townhouse,1126289.0,-0.9235886069278155,6
155.0,Neigh_North,37.41137,-122.12392,Condominium,1692492.0,-0.9664613813536714,2
125.0,Neigh_North,37.38215,-122.01898,Townhouse,2520606.0,-0.9818387747443498,2
200.0,Neigh_South,37.3815,-121.8704,Townhouse,702881.0,-0.8957950643781957,5
325.0,Neigh_South,37.381170000000004,-121.89676000000001,Condominium,1345235.0,-0.9115240365426613,5
150.0,Neigh_South,37.25566,-121.82131000000001,Townhouse,471018.0,-0.883374410285611,5
197.0,Neigh_South,37.3475,-121.92685,Townhouse,966030.0,-0.9253180394869026,4
229.0,Neigh_North,37.41152,-122.09156999999999,Townhouse,1285691.0,-0.9347712619818962,5
275.0,Neigh_North,37.42557,-122.10229,Townhouse,1742784.0,-0.9422131225884358,5
168.0,Neigh_North,37.396609999999995,-122.06311000000001,Townhouse,2166993.0,-0.9716082690354685,3
189.0,Neigh_North,37.367540000000005,-122.02186999999999,Condominium,2495774.0,-0.9722670131429064,3
140.0,Neigh_South,37.3288,-121.9064,Townhouse,1255880.0,-0.9591755832178611,5
250.0,Neigh_South,37.28606,-121.95651000000001,Townhouse,1339093.0,-0.9316294038625496,5
146.0,Neigh_North,37.45317,-122.16261000000002,Condominium,3710403.0,-0.9855897381958251,3
167.0,Neigh_North,37.406009999999995,-122.094,Townhouse,1010662.0,-0.9394867285885398,4
200.0,Neigh_South,37.28261,-121.83813,Condominium,539792.0,-0.8643113099957216,4
75.0,Neigh_North,37.37786,-122.06206,Townhouse,1448653.0,-0.9810400585868071,4
300.0,Neigh_North,37.40059,-121.95066000000001,Condominium,1411466.0,-0.9221621321149895,4
140.0,Neigh_North,37.395720000000004,-122.08945,Condominium,4649349.0,-0.9889725274337648,2
306.0,Neigh_North,37.40497,-122.09446000000001,Condominium,1324044.0,-0.9153632250039819,3
350.0,Neigh_North,37.45009,-122.16115,Condominium,1221755.0,-0.8950882776244979,4
180.0,Neigh_South,37.29841,-121.91338999999999,Condominium,1524389.0,-0.9567569023265645,4
150.0,Neigh_North,37.3961,-122.06168000000001,Townhouse,1876059.0,-0.9707190701272763,3
168.0,Neigh_South,37.302009999999996,-121.84085,Condominium,617608.0,-0.9003823100445215,4
300.0,Neigh_North,37.41377,-122.15428999999999,Townhouse,3394338.0,-0.9676327154124945,6
60.0,Neigh_South,37.39257,-121.86429,Townhouse,1134008.0,-0.9806235045904114,3
179.0,Neigh_North,37.36352,-122.02143000000001,Condominium,2104363.0,-0.9688489656620382,3
145.0,Neigh_North,37.32942,-121.99573999999998,Townhouse,1832188.0,-0.9710173517770979,4
164.0,Neigh_North,37.41449,-121.88908,Townhouse,1172791.0,-0.9487889923516404,4
174.0,Neigh_North,37.42812,-122.14171999999999,Condominium,2692264.0,-0.9763314473102687,4
275.0,Neigh_South,37.34218,-121.89232,Condominium,1335328.0,-0.9245802938582615,3
224.0,Neigh_South,37.375840000000004,-121.8518,Townhouse,636820.0,-0.8711835217528279,5
259.0,Neigh_North,37.4143,-121.88882,Condominium,1018215.0,-0.9068462438537517,5
70.0,Neigh_South,37.386340000000004,-121.85566000000001,Condominium,1203841.0,-0.978705423495149,2
